No,ExpNumber,Species,Isolates,Treatments ,Dilution,techRep,Full_Exp_Code,Exp_Code,  ,radial_growth,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Dates,Comments
77,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep2,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep2,FR_EXP5_77,0.49128,Layer1,5,5.598,5.915,4.19,07/10/2024-07/12/2100,
78,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep3,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep3,FR_EXP5_78,0.49128,Layer1,6.197,5.986,6.866,6.972,07/10/2024-07/12/2101,
79,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep1,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep1,FR_EXP5_79,0.049128,Layer1,11.2,9.084,11.267,9.436,07/10/2024-07/12/2102,
80,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep2,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep2,FR_EXP5_80,0.049128,Layer1,11.127,11.271,12.045,10.849,07/10/2024-07/12/2103,
81,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep3,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep3,FR_EXP5_81,0.049128,Layer1,7.043,6.515,12.077,11.027,07/10/2024-07/12/2104,
82,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep1,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep1,FR_EXP5_82,0,Layer1,17.428,16.161,16.232,15.144,07/10/2024-07/12/2105,
83,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep2,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep2,FR_EXP5_83,0,Layer1,17.041,18.173,16.833,17.861,07/10/2024-07/12/2106,
84,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep3,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep3,FR_EXP5_84,0,Layer1,17.184,17.012,17.612,14.164,07/10/2024-07/12/2107,
85,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep1,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep1,FR_EXP5_85,4.9128,Layer1,1.232,1.514,1.55,1.373,07/10/2024-07/12/2108,
86,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep2,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep2,FR_EXP5_86,4.9128,Layer1,1.058,0.74,0.845,0.775,07/10/2024-07/12/2109,
87,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep3,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep3,FR_EXP5_87,4.9128,Layer1,0.511,0.669,0.898,0.617,07/10/2024-07/12/2110,
88,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep1,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep1,FR_EXP5_88,0.49128,Layer1,1.902,1.832,1.55,1.375,07/10/2024-07/12/2111,
89,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep2,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep2,FR_EXP5_89,0.49128,Layer1,1.691,1.426,1.074,1.461,07/10/2024-07/12/2112,
90,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep3,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep3,FR_EXP5_90,0.49128,Layer1,4.701,1.673,1.303,1.989,07/10/2024-07/12/2113,
91,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep1,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep1,FR_EXP5_91,0.049128,Layer1,4.015,3.416,4.015,2.993,07/10/2024-07/12/2114,
92,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep2,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep2,FR_EXP5_92,0.049128,Layer1,3.206,3.522,3.38,4.402,07/10/2024-07/12/2115,
93,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep3,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep3,FR_EXP5_93,0.049128,Layer1,3.789,2.555,2.923,3.171,07/10/2024-07/12/2116,
94,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep1,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep1,FR_EXP5_94,0,Layer1,4.824,3.982,4.649,5.248,07/10/2024-07/12/2117,
95,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep2,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep2,FR_EXP5_95,0,Layer1,4.718,4.93,4.965,4.859,07/10/2024-07/12/2118,
96,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep3,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep3,FR_EXP5_96,0,Layer1,5,5.669,5.634,4.472,07/10/2024-07/12/2119,
97,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),Dilution1,Rep1,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_Dilution1_Rep1,FR_EXP5_97,4.011,Layer1,4.62,5.003,4.709,3.703,07/10/2024-07/12/2120,
98,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),Dilution1,Rep2,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_Dilution1_Rep2,FR_EXP5_98,4.011,Layer1,2.183,3.31,2.782,2.535,07/10/2024-07/12/2121,
99,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),Dilution1,Rep3,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_Dilution1_Rep3,FR_EXP5_99,4.011,Layer1,3.157,2.828,2.219,3.274,07/10/2024-07/12/2122,
100,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),Dilution2,Rep1,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_Dilution2_Rep1,FR_EXP5_100,0.4011,Layer1,5.792,4.12,2.008,3.75,07/10/2024-07/12/2123,
101,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),Dilution2,Rep2,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_Dilution2_Rep2,FR_EXP5_101,0.4011,Layer1,6.238,6.411,4.977,4.227,07/10/2024-07/12/2124,
102,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),Dilution2,Rep3,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_Dilution2_Rep3,FR_EXP5_102,0.4011,Layer1,4.049,5.035,5.422,4.436,07/10/2024-07/12/2125,
103,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),Dilution3,Rep1,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_Dilution3_Rep1,FR_EXP5_103,0.04011,Layer1,4.788,5.669,5.704,6.549,07/10/2024-07/12/2126,
104,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),Dilution3,Rep2,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_Dilution3_Rep2,FR_EXP5_104,0.04011,Layer1,6.885,6.936,6.796,7.183,07/10/2024-07/12/2127,
105,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),Dilution3,Rep3,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_Dilution3_Rep3,FR_EXP5_105,0.04011,Layer1,6.198,9.12,7.255,6.095,07/10/2024-07/12/2128,
106,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),ddH20,Rep1,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_ddH20_Rep1,FR_EXP5_106,0,Layer1,7.257,7.535,7.148,12.112,07/10/2024-07/12/2129,
107,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),ddH20,Rep2,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_ddH20_Rep2,FR_EXP5_107,0,Layer1,8.908,8.665,8.064,7.115,07/10/2024-07/12/2130,
108,EXP5,Rhizoctonia solani,FELCC 26,Endura 1 active ingr (Boscalid),ddH20,Rep3,EXP5_FELCC 26_Endura 1 active ingr (Boscalid)_ddH20_Rep3,FR_EXP5_108,0,Layer1,8.064,8.416,12.079,14.931,07/10/2024-07/12/2131,
109,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),Dilution1,Rep1,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_Dilution1_Rep1,FR_EXP5_109,4.011,Layer1,3.03,2.325,4.016,2.29,07/10/2024-07/12/2132,
110,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),Dilution1,Rep2,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_Dilution1_Rep2,FR_EXP5_110,4.011,Layer1,2.994,3.31,2.363,2.079,07/10/2024-07/12/2133,
111,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),Dilution1,Rep3,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_Dilution1_Rep3,FR_EXP5_111,4.011,Layer1,2.042,2.923,2.535,2.218,07/10/2024-07/12/2134,
112,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),Dilution2,Rep1,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_Dilution2_Rep1,FR_EXP5_112,0.4011,Layer1,3.674,3.063,2.336,2.489,07/10/2024-07/12/2135,
113,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),Dilution2,Rep2,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_Dilution2_Rep2,FR_EXP5_113,0.4011,Layer1,3.487,2.782,2.289,3.03,07/10/2024-07/12/2136,
114,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),Dilution2,Rep3,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_Dilution2_Rep3,FR_EXP5_114,0.4011,Layer1,3.31,3.31,3.31,3.31,07/10/2024-07/12/2137,
115,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),Dilution3,Rep1,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_Dilution3_Rep1,FR_EXP5_115,0.04011,Layer1,3.788,2.94,1.639,1.462,07/10/2024-07/12/2138,
116,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),Dilution3,Rep2,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_Dilution3_Rep2,FR_EXP5_116,0.04011,Layer1,1.989,2.148,1.743,2.57,07/10/2024-07/12/2139,
117,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),Dilution3,Rep3,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_Dilution3_Rep3,FR_EXP5_117,0.04011,Layer1,3.276,4.155,4.753,3.557,07/10/2024-07/12/2140,
118,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),ddH20,Rep1,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_ddH20_Rep1,FR_EXP5_118,0,Layer1,7.782,8.034,5.281,5.176,07/10/2024-07/12/2141,
119,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),ddH20,Rep2,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_ddH20_Rep2,FR_EXP5_119,0,Layer1,3.945,4.155,3.664,3.239,07/10/2024-07/12/2142,
120,EXP5,Diaporthe longicolla,FELCC193,Endura 1 active ingr (Boscalid),ddH20,Rep3,EXP5_FELCC193_Endura 1 active ingr (Boscalid)_ddH20_Rep3,FR_EXP5_120,0,Layer1,5.246,4.225,4.436,4.894,07/10/2024-07/12/2143,
121,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),Dilution1,Rep1,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_Dilution1_Rep1,FR_EXP5_121,4.011,Layer1,3.38,2.641,1.972,3.31,07/10/2024-07/12/2144,
122,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),Dilution1,Rep2,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_Dilution1_Rep2,FR_EXP5_122,4.011,Layer1,2.711,2.077,2.642,1.444,07/10/2024-07/12/2145,
123,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),Dilution1,Rep3,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_Dilution1_Rep3,FR_EXP5_123,4.011,Layer1,1.514,1.514,1.342,1.727,07/10/2024-07/12/2146,
124,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),Dilution2,Rep1,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_Dilution2_Rep1,FR_EXP5_124,0.4011,Layer1,6.451,5.598,6.462,6.411,07/10/2024-07/12/2147,
125,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),Dilution2,Rep2,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_Dilution2_Rep2,FR_EXP5_125,0.4011,Layer1,5.954,5.211,6.765,6.127,07/10/2024-07/12/2148,
126,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),Dilution2,Rep3,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_Dilution2_Rep3,FR_EXP5_126,0.4011,Layer1,6.302,6.378,7.042,6.662,07/10/2024-07/12/2149,
127,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),Dilution3,Rep1,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_Dilution3_Rep1,FR_EXP5_127,0.04011,Layer1,9.788,9.718,9.154,9.438,07/10/2024-07/12/2150,
128,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),Dilution3,Rep2,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_Dilution3_Rep2,FR_EXP5_128,0.04011,Layer1,9.267,9.401,8.915,9.436,07/10/2024-07/12/2151,
129,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),Dilution3,Rep3,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_Dilution3_Rep3,FR_EXP5_129,0.04011,Layer1,8.592,7.711,6.338,7.185,07/10/2024-07/12/2152,
130,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),ddH20,Rep1,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_ddH20_Rep1,FR_EXP5_130,0,Layer1,14.436,15.034,14.295,14.225,07/10/2024-07/12/2153,
131,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),ddH20,Rep2,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_ddH20_Rep2,FR_EXP5_131,0,Layer1,12.605,15.034,13.943,14.691,07/10/2024-07/12/2154,
132,EXP5,Fusarium oxysporum ,FELCC212,Endura 1 active ingr (Boscalid),ddH20,Rep3,EXP5_FELCC212_Endura 1 active ingr (Boscalid)_ddH20_Rep3,FR_EXP5_132,0,Layer1,14.823,15.386,15.035,13.873,07/10/2024-07/12/2155,
133,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),Dilution1,Rep1,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_Dilution1_Rep1,FR_EXP5_133,4.011,Layer1,1.479,2.06,2.113,2.113,07/10/2024-07/12/2156,
134,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),Dilution1,Rep2,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_Dilution1_Rep2,FR_EXP5_134,4.011,Layer1,1.942,1.797,2.012,1.903,07/10/2024-07/12/2157,
135,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),Dilution1,Rep3,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_Dilution1_Rep3,FR_EXP5_135,4.011,Layer1,1.673,2.429,1.408,1.919,07/10/2024-07/12/2158,
136,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),Dilution2,Rep1,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_Dilution2_Rep1,FR_EXP5_136,0.4011,Layer1,3.594,4.12,4.19,3.838,07/10/2024-07/12/2159,
137,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),Dilution2,Rep2,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_Dilution2_Rep2,FR_EXP5_137,0.4011,Layer1,3.61,3.345,3.381,3.276,07/10/2024-07/12/2160,
138,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),Dilution2,Rep3,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_Dilution2_Rep3,FR_EXP5_138,0.4011,Layer1,3.743,3.734,4.032,3.629,07/10/2024-07/12/2161,
139,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),Dilution3,Rep1,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_Dilution3_Rep1,FR_EXP5_139,0.04011,Layer1,4.824,4.79,4.401,4.721,07/10/2024-07/12/2162,
140,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),Dilution3,Rep2,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_Dilution3_Rep2,FR_EXP5_140,0.04011,Layer1,5.11,4.65,5.111,5.004,07/10/2024-07/12/2163,
141,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),Dilution3,Rep3,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_Dilution3_Rep3,FR_EXP5_141,0.04011,Layer1,4.935,4.475,4.299,3.558,07/10/2024-07/12/2164,
142,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),ddH20,Rep1,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_ddH20_Rep1,FR_EXP5_142,0,Layer1,5.23,5.74,4.965,4.316,07/10/2024-07/12/2165,
143,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),ddH20,Rep2,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_ddH20_Rep2,FR_EXP5_143,0,Layer1,5.176,4.876,5.158,4.982,07/10/2024-07/12/2166,
144,EXP5,Fusarium solani ,FELCC214,Endura 1 active ingr (Boscalid),ddH20,Rep3,EXP5_FELCC214_Endura 1 active ingr (Boscalid)_ddH20_Rep3,FR_EXP5_144,0,Layer1,4.656,4.05,4.518,4.226,07/10/2024-07/12/2167,
145,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),Dilution1,Rep1,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_Dilution1_Rep1,FR_EXP5_145,5.7975,Layer1,0.858,1.445,1.388,1.68,07/10/2024-07/12/2168,
146,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),Dilution1,Rep2,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_Dilution1_Rep2,FR_EXP5_146,5.7975,Layer1,0.986,0.951,0.881,0.81,07/10/2024-07/12/2169,
147,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),Dilution1,Rep3,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_Dilution1_Rep3,FR_EXP5_147,5.7975,Layer1,1.426,1.18,1.056,1.216,07/10/2024-07/12/2170,
148,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),Dilution2,Rep1,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_Dilution2_Rep1,FR_EXP5_148,0.57975,Layer1,1.568,1.621,1.622,1.234,07/10/2024-07/12/2171,
149,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),Dilution2,Rep2,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_Dilution2_Rep2,FR_EXP5_149,0.57975,Layer1,1.585,1.456,1.808,1.631,07/10/2024-07/12/2172,
150,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),Dilution2,Rep3,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_Dilution2_Rep3,FR_EXP5_150,0.57975,Layer1,,,,,07/10/2024-07/12/2173,
151,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),Dilution3,Rep1,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_Dilution3_Rep1,FR_EXP5_151,0.057975,Layer1,4.348,2.905,2.712,1.989,07/10/2024-07/12/2174,
152,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),Dilution3,Rep2,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_Dilution3_Rep2,FR_EXP5_152,0.057975,Layer1,3.152,3.117,2.201,2.94,07/10/2024-07/12/2175,
153,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),Dilution3,Rep3,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_Dilution3_Rep3,FR_EXP5_153,0.057975,Layer1,3.91,5.316,4.72,5.457,07/10/2024-07/12/2176,
154,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),ddH20,Rep1,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_ddH20_Rep1,FR_EXP5_154,0,Layer1,13.908,18.555,14.973,14.823,07/10/2024-07/12/2177,
155,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),ddH20,Rep2,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_ddH20_Rep2,FR_EXP5_155,0,Layer1,19.4,21.09,18.767,18.731,07/10/2024-07/12/2178,
156,EXP5,Rhizoctonia solani,FELCC 26,Topguard 1 active ingr (Flutriafol),ddH20,Rep3,EXP5_FELCC 26_Topguard 1 active ingr (Flutriafol)_ddH20_Rep3,FR_EXP5_156,0,Layer1,18.488,17.468,19.228,17.535,07/10/2024-07/12/2179,
157,EXP5,Diaporthe longicolla,FELCC193,Topguard 1 active ingr (Flutriafol),Dilution1,Rep1,EXP5_FELCC193_Topguard 1 active ingr (Flutriafol)_Dilution1_Rep1,FR_EXP5_157,5.7975,Layer1,0,0,0,0,07/10/2024-07/12/2180,
158,EXP5,Diaporthe longicolla,FELCC193,Topguard 1 active ingr (Flutriafol),Dilution1,Rep2,EXP5_FELCC193_Topguard 1 active ingr (Flutriafol)_Dilution1_Rep2,FR_EXP5_158,5.7975,Layer1,0,0,0,0,07/10/2024-07/12/2181,
